image,PSNR,SSIM,NCC,LMSE
83-m,29.744849777423838,0.9000161129263602,0.97563106,0.0067706676
84-m,28.52961763364444,0.920945829442592,0.96078134,0.007902129
85-m,28.918345595291964,0.8883232440452266,0.9845967,0.009749033
86s-m,32.95312368517472,0.9425080530849606,0.9693954,0.005136125
87-m,21.932528249301345,0.8002978590362537,0.7110981,0.020857671
88s-m,31.492719409665437,0.8501552550354496,0.9348414,0.013187077
89-m,33.244153324145536,0.919237160622199,0.99059,0.0033420268
9-m,13.213828633019554,0.7369021125198283,0.69123566,0.003818006
90-m,22.046548269047538,0.9211038428109962,0.96094024,0.0031347733
91-m,19.39508399211069,0.8419569623113264,0.8439656,0.010728825
92-m,25.227779928300503,0.921260253852283,0.9823095,0.0015173121
93-m,28.611925187008676,0.9049311585183278,0.9666669,0.0048394524
94-m,31.821466777727096,0.9565467988561784,0.99402547,0.0025901855
95-m,28.51582458112419,0.9375204886478277,0.95526206,0.0031675086
96-m,26.340008289110212,0.9510169273935455,0.9642063,0.00093499036
97-m,24.782370652268085,0.9639052584583988,0.97531116,0.0012537438
98-m,23.919091796953012,0.9531777203153183,0.9774617,0.003288627
99s-m,25.39926567022142,0.8496682894411,0.9821321,0.0029505654
